iter	Passed	Remaining
0	1	142
1	2	115
2	3	107
3	4	100
4	5	102
5	6	103
6	7	99
7	8	100
8	9	99
9	10	97
10	11	96
11	12	94
12	13	92
13	14	90
14	15	88
15	16	86
16	17	84
17	18	83
18	19	81
19	20	80
20	20	78
21	21	77
22	22	75
23	23	74
24	24	72
25	25	71
26	26	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	34
62	58	34
63	58	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
